id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
compound,78,COMP,Compound,7815297.8059619700000000,10000000.0000000000000000,318819809.5319173241063912,9119916.4129711383283307,40.7943263900580697,-1.1157945826219206,40.7698976446662395,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
nexo,79,NEXO,Nexo,560000011.0000000000000000,1000000000.0000000000000000,310003552.5202074403203084,132227.5571566031143707,0.5535777614836644,-6.2791163533525098,0.5804092121964221,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
dash,80,DASH,Dash,11437687.1850896800000000,18900000.0000000000000000,297944366.6407663557678522,22778846.7412145184860181,26.0493543685274559,1.6954827757264307,25.3047832788191559,https://explorer.dash.org
wootrade,81,WOO,WOO Network,1741116976.5828114000000000,,291495131.2559673330367519,1810523.3670745756710393,0.1674184647995724,-0.3952588269378373,0.1685352992574083,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
pancakeswap,82,CAKE,PancakeSwap,224062958.7170655700000000,750000000.0000000000000000,276810156.9381624109433403,2561984.8246564509900354,1.2354123971365705,-0.1978829218201697,1.2362602495227809,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
arweave,83,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,269154088.9924035550004640,2006188.8235645675334205,4.1120990047069344,-0.6591678620181247,4.1440680702067927,https://viewblock.io/arweave
gnosis-gno,84,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,263082853.2187117761694452,3509671.5160341599613510,101.5925518726190329,0.0940798504836176,101.2188162264284620,https://etherscan.io/token/Gnosis
oasis-network,85,ROSE,Oasis Network,6542267493.0000000000000000,10000000000.0000000000000000,260072124.5843633327497914,1581412.0955065975046551,0.0397525972245298,1.2327942534036241,0.0394620109810517,https://www.oasisscan.com/
zilliqa,86,ZIL,Zilliqa,15867699446.7699000000000000,21000000000.0000000000000000,254469353.9857646303310528,4799790.3493750942278887,0.0160369406314641,1.0923950823219158,0.0159600326091509,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
basic-attention-token,87,BAT,Basic Attention Token,1489950991.7326057000000000,1500000000.0000000000000000,249354220.9802939465488697,7425191.9176369999079363,0.1673573307873232,-0.9643211704378042,0.1675087176420308,https://etherscan.io/token/Bat
1inch,88,1INCH,1inch Network,1029184936.1869363000000000,,242830925.9606350860303105,5340099.3070862245882920,0.2359448894192991,0.4006178924491593,0.2341545279101908,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
loopring,89,LRC,Loopring,1331547704.5400410000000000,1374513896.0000000000000000,237632601.0800413753616783,1710228.6950399558468572,0.1784634529200944,0.6055265328821635,0.1779998160806851,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
enjin-coin,90,ENJ,Enjin Coin,1000000000.0000000000000000,1000000000.0000000000000000,233228785.5406681000000000,1302043.7528668684700175,0.2332287855406681,2.0478430742433652,0.2307726124922874,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
singularitynet,91,AGIX,SingularityNET,1232684305.8849297000000000,2000000000.0000000000000000,232071880.8887251285073808,1448048.9325501598907833,0.1882654624390009,6.3842685731612967,0.1815438533481990,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
helium,92,HNT,Helium,143934820.8303076600000000,223000000.0000000000000000,222875549.0761074964579573,187702.8273361637515937,1.5484477473235418,0.7140985297086409,1.5451925936301071,https://explorer.helium.com/
qtum,93,QTUM,Qtum,104755842.0000000000000000,107822406.0000000000000000,221692119.1532005170284514,5283534.2114965690523447,2.1162745191165617,2.4802665302185379,2.0964240780316143,https://qtum.info/
nem,94,XEM,NEM,8999999999.0000000000000000,8999999999.0000000000000000,217591413.9328087762270016,1702985.3014644465217266,0.0241768237729984,0.2062793743594673,0.0241225916276509,http://nembex.nem.ninja/
celo,95,CELO,Celo,511790944.0000000000000000,1000000000.0000000000000000,215025001.9224706497844928,1500750.2842103125035793,0.4201422562148162,1.4412724513331655,0.4222758339690793,https://explorer.celo.org/blocks
fetch,96,FET,Fetch.ai,818523496.6209521000000000,,212725945.0105984009135630,48769091.6900490656686026,0.2598898454213943,11.5491411952781027,0.2468639230795297,https://etherscan.io/token/0x1d287cc25dad7ccaf76a26bc660c5f7c8e2a05bd
akash-network,97,AKT,Akash Network,217813356.4247670000000000,388539008.0000000000000000,208957781.6780047084623860,254945.3056577569897558,0.9593432887123200,3.1514202420291224,0.9570293935714030,https://akash.bigdipper.live/
mask-network,98,MASK,Mask Network,82112500.0000000000000000,100000000.0000000000000000,208165206.9229722322450000,24637413.7623158299015973,2.5351220206786084,-0.9182979748681715,2.5316016210834877,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
decred,99,DCR,Decred,15449727.3297514300000000,21000000.0000000000000000,203806960.6854471871213660,375795.7970079224563708,13.1916218542561313,-0.3099782862888177,13.2541534738163038,https://mainnet.decred.org/
theta-fuel,100,TFUEL,Theta Fuel,6266224182.0000000000000000,,196504660.4636775076855902,417074.4149095736578615,0.0313593409294461,1.4119476510198555,0.0310338900263293,https://explorer.thetatoken.org/
