id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
polygon,13,MATIC,Polygon,9319469069.2849300000000000,10000000000.0000000000000000,5073160210.0104639406271998,43032563.5798889213410518,0.5443615051774318,0.0760905789932736,0.5423499555976619,https://etherscan.io/token/0x7D1AfA7B718fb893dB30A3aBc0Cfc608AaCfeBB0
litecoin,14,LTC,Litecoin,73612301.7274352800000000,84000000.0000000000000000,4750067957.6642015557734938,72786345.6189765811055744,64.5281813799588450,0.5780807120502470,64.4337595017378344,http://explorer.litecoin.net/chain/Litecoin
shiba-inu,15,SHIB,Shiba Inu,589346914631298.1000000000000000,,4612350165.5327527557746549,17531438.9007703112035204,0.0000078262056711,-0.7918183048651260,0.0000078627550182,https://etherscan.io/token/0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce
wrapped-bitcoin,16,WBTC,Wrapped Bitcoin,162974.7617526900000000,,4231760277.6477577694317156,1896287.6891788288480523,25965.7399227823072982,0.4560100308849826,25937.0335555463932469,https://etherscan.io/token/0x2260fac5e5542a773aa44fbcfedf7c193bc2c599
bitcoin-cash,17,BCH,Bitcoin Cash,19493931.2500000000000000,21000000.0000000000000000,3806292763.6935380898619581,40289441.4476661518467116,195.2552676461059177,-2.2035590590867139,196.7626033069607529,https://blockchair.com/bitcoin-cash/blocks
unus-sed-leo,18,LEO,UNUS SED LEO,929430965.9000000000000000,,3633094738.7013245528155661,121763.7407737886393235,3.9089452277752268,0.0266708338500751,3.9042474022907299,https://eospark.com/account/bitfinexleo1
avalanche,19,AVAX,Avalanche,353559933.6424738000000000,720000000.0000000000000000,3512832076.1767566302362404,12218237.4007265671634524,9.9356056552748309,0.5322827274092019,9.9007934825847830,https://avascan.info/
trueusd,20,TUSD,TrueUSD,3447761055.7999997000000000,,3449812570.2298554820297814,187967689.3605382940068732,1.0005950280186629,0.1906856837261265,0.9997709253538219,https://etherscan.io/token/0x8dd5fbce2f6a956c3022ba3663759011dd51e73e
chainlink,21,LINK,Chainlink,538099970.4527867000000000,1000000000.0000000000000000,3234085196.8771158745418762,37172247.1485910036128186,6.0101939685218343,0.9602774582590293,5.9863319594892058,https://etherscan.io/token/0x514910771af9ca656af840dff83e8264ecf986ca
stellar,22,XLM,Stellar,27464250504.9282150000000000,50001806812.0000000000000000,3119316840.1261641084217957,34168037.2310139330009249,0.1135773517491923,0.4341340166475751,0.1133649311647467,https://dashboard.stellar.org/
